"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"19","GO:0030424","axon",58,-0.576935985076046,-1.96009673553609,0.000240050363133109,0.00713833974580036,0.00658309860115729,2718,"tags=59%, list=22%, signal=46%","118506850/118506332/118517576/118505315/118510885/118513649/118514067/118517589/118509019/118508115/118511006/118513650/118513511/118505923/118517151/118508221/118508223/118507219/118514045/118511010/118504934/118508473/118517146/118507723/118504404/118511415/118508044/118504479/118505585/118509611/118504938/118517144/118517592/118513648"
"21","GO:0008076","voltage-gated potassium channel complex",13,-0.785788669175138,-1.86595678545833,0.000472819952199487,0.0127211082377481,0.0117316228741226,1790,"tags=92%, list=15%, signal=79%","118513649/118517343/118513650/118517151/118502539/118517146/118510336/118514181/118507132/118517144/118511198/118513648"
"23","GO:0044419","biological process involved in interspecies interaction between organisms",12,0.861494990902508,1.83934667720076,0.000707947882027879,0.0174485306477464,0.0160913324091933,1361,"tags=67%, list=11%, signal=59%","118503698/118512323/118517329/118517330/118509375/118507056/118509374/118512948"
"24","GO:0009897","external side of plasma membrane",19,0.794282493018345,1.89443338280279,0.000820691985657504,0.0185881764940675,0.0171423332362616,1361,"tags=47%, list=11%, signal=42%","118503698/118512323/118517329/118517330/118509375/118507056/118509918/118509374/118512948"
"25","GO:0007186","G protein-coupled receptor signaling pathway",84,-0.492163097219204,-1.78089588053121,0.000822485685578206,0.0185881764940675,0.0171423332362616,1621,"tags=44%, list=13%, signal=38%","118503458/118508378/118512346/118504083/118507167/118509800/118509398/118511272/118502844/118510966/118509799/118514323/118511780/118507864/118517533/118505604/118507727/118504367/118507559/118507277/118502932/118517190/118503899/118510869/118507515/118505290/118505666/118508340/118506785/118508044/118512741/118511351/118511266/118508341/118516608/118507048/118509169"
"26","GO:0004888","transmembrane signaling receptor activity",29,-0.669406836003415,-1.96605244510116,0.000966631679466998,0.0202276629221798,0.0186542955686614,1574,"tags=48%, list=13%, signal=42%","118504507/118512827/118504164/118503329/118513606/118512486/118517651/118513535/118504537/118506428/118517327/118517008/118517656/118504509"
"27","GO:1902476","chloride transmembrane transport",20,-0.718128763326797,-1.88673757891994,0.000956249337564407,0.0202276629221798,0.0186542955686614,1401,"tags=60%, list=11%, signal=53%","118511642/118517741/118512827/118502777/118513215/118503329/118513606/118503536/118502778/118506428/118510532/118517008"
"28","GO:0005891","voltage-gated calcium channel complex",11,-0.783334680453171,-1.78432845139823,0.00135948111657264,0.0274323868165551,0.0252986147632879,2073,"tags=82%, list=17%, signal=68%","118510617/118510955/118510954/118504855/118511274/118512916/118503505/118504857/118513809"
"29","GO:0034220","monoatomic ion transmembrane transport",17,-0.719506442540582,-1.82896620640743,0.001708696273236,0.0332901170475289,0.0307007134392674,1574,"tags=59%, list=13%, signal=51%","118504507/118509156/118504164/118512486/118517651/118513535/118504537/118517327/118517656/118504509"
"30","GO:0051539","4 iron, 4 sulfur cluster binding",17,0.775263037229907,1.80994985135971,0.00223945019518051,0.042176312009233,0.0388957139162931,243,"tags=12%, list=2%, signal=12%","118516530/118517340"
